Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",213.220000,-72.950000,0.000000,top
"C2","100n","C_0402_1005Metric",213.610000,-80.820000,0.000000,top
"C3","100n","C_0402_1005Metric",206.450000,-72.100000,0.000000,top
"C4","100n","C_0402_1005Metric",186.400000,-96.820000,-90.000000,top
"C5","100n","C_0402_1005Metric",174.470000,-69.650000,90.000000,top
"C6","100n","C_0402_1005Metric",185.850000,-93.270000,-90.000000,top
"C7","100n","C_0402_1005Metric",192.320000,-66.330000,90.000000,top
"C8","10u","C_0603_1608Metric",184.250000,-99.425000,-90.000000,top
"C9","100n","C_0402_1005Metric",182.940000,-66.710000,90.000000,top
"C10","100n","C_0402_1005Metric",203.520000,-66.010000,0.000000,top
"C11","10u","C_0603_1608Metric",177.750000,-94.450000,-90.000000,top
"C12","100n","C_0402_1005Metric",162.240000,-76.230000,90.000000,top
"C13","2.2u","C_0603_1608Metric",182.750000,-91.550000,180.000000,top
"C14","2.2u","C_0603_1608Metric",182.550000,-95.475000,-90.000000,top
"C15","10u","C_0603_1608Metric",183.400000,-84.925000,-90.000000,top
"C16","10u","C_0603_1608Metric",189.700000,-84.775000,-90.000000,top
"C17","100n","C_0402_1005Metric",186.330000,-103.630000,90.000000,top
"C18","10u","C_0603_1608Metric",197.900000,-85.325000,-90.000000,top
"C19","10u","C_0603_1608Metric",204.500000,-85.675000,-90.000000,top
"C20","10u","C_0603_1608Metric",181.250000,-85.050000,-90.000000,top
"C21","10u","C_0603_1608Metric",186.450000,-84.850000,-90.000000,top
"C22","10u","C_0603_1608Metric",195.200000,-85.350000,-90.000000,top
"C23","10u","C_0603_1608Metric",201.350000,-85.500000,-90.000000,top
"C24","100n","C_0402_1005Metric",150.700000,-129.280000,90.000000,top
"C25","100n","C_0402_1005Metric",147.700000,-122.600000,-90.000000,top
"C26","100n","C_0402_1005Metric",128.250000,-123.579975,90.000000,top
"C27","100n","C_0402_1005Metric",188.230000,-123.450000,0.000000,top
"C28","100n","C_0402_1005Metric",192.800000,-132.530000,90.000000,top
"C29","100n","C_0402_1005Metric",191.500000,-121.880000,90.000000,top
"C30","100n","C_0402_1005Metric",194.000000,-121.860000,90.000000,top
"C31","100n","C_0402_1005Metric",147.400000,-130.400000,-90.000000,top
"C32","100n","C_0402_1005Metric",212.900000,-129.470000,-90.000000,top
"C33","100n","C_0402_1005Metric",145.800000,-130.300000,-90.000000,top
"C34","10u","C_0603_1608Metric",196.000000,-118.955000,90.000000,top
"C35","10u","C_0603_1608Metric",143.500000,-134.825000,-90.000000,top
"C36","4.7u","C_0402_1005Metric",135.100000,-126.450000,0.000000,top
"C37","4.7u","C_0402_1005Metric",135.020000,-124.900000,0.000000,top
"C38","4.7u","C_0402_1005Metric",204.350000,-128.550000,180.000000,top
"C39","4.7u","C_0402_1005Metric",204.430000,-126.800000,180.000000,top
"C40","100p","C_0402_1005Metric",142.300000,-125.780000,-90.000000,top
"C41","47p","C_0402_1005Metric",142.520000,-129.300000,0.000000,top
"C42","47p","C_0402_1005Metric",142.500000,-122.100000,0.000000,top
"C43","100p","C_0402_1005Metric",197.800000,-127.460000,90.000000,top
"C44","47p","C_0402_1005Metric",197.700000,-122.880000,180.000000,top
"C45","47p","C_0402_1005Metric",198.080000,-130.980000,180.000000,top
"C46","10u","C_0603_1608Metric",154.675000,-127.700000,0.000000,top
"C47","10u","C_0603_1608Metric",154.800000,-125.400000,0.000000,top
"C48","10u","C_0603_1608Metric",188.175000,-126.700000,180.000000,top
"C49","220p","C_0402_1005Metric",164.570000,-130.000000,180.000000,top
"C50","6.8n","C_0603_1608Metric",163.150000,-127.600000,-90.000000,top
"C51","220p","C_0402_1005Metric",166.120000,-127.300000,180.000000,top
"C52","10u","C_0603_1608Metric",187.975000,-129.500000,180.000000,top
"C53","220p","C_0402_1005Metric",176.400000,-127.100000,90.000000,top
"C54","6.8n","C_0603_1608Metric",180.300000,-128.750000,90.000000,top
"C55","220p","C_0402_1005Metric",177.000000,-129.630000,90.000000,top
"C56","100n","C_0402_1005Metric",160.720000,-144.300000,0.000000,top
"C57","100n","C_0402_1005Metric",163.350000,-133.450000,90.000000,top
"C58","100n","C_0402_1005Metric",164.500000,-136.000000,90.000000,top
"C59","10u","C_0603_1608Metric",163.000000,-139.100000,90.000000,top
"C60","10u","C_0603_1608Metric",156.400000,-135.300000,90.000000,top
"C61","2.2u","C_0603_1608Metric",160.600000,-131.600000,0.000000,top
"C62","2.2u","C_0603_1608Metric",160.500000,-135.300000,0.000000,top
"J1","OSC_DIS","PinHeader_1x02_P2.54mm_Vertical",149.010000,-147.450000,90.000000,top
"J2","IIS2","PinHeader_1x07_P2.54mm_Vertical",217.450000,-119.725000,180.000000,top
"J3","SPI","PinHeader_1x04_P2.54mm_Vertical",217.750000,-97.450000,180.000000,top
"J4","PWR","PinHeader_1x04_P2.54mm_Vertical",122.400000,-113.940000,180.000000,top
"J5","IIC","PinHeader_1x02_P2.54mm_Vertical",218.050000,-143.600000,0.000000,top
"J6","IIS1","PinHeader_1x08_P2.54mm_Vertical",172.820000,-147.650000,90.000000,top
"R1","10k","R_0402_1005Metric",184.750000,-107.250000,-90.000000,top
"R2","22","R_0402_1005Metric",189.400000,-99.110000,-90.000000,top
"R3","22","R_0402_1005Metric",195.000000,-99.210000,-90.000000,top
"R4","22","R_0402_1005Metric",196.450000,-99.200000,-90.000000,top
"R5","10k","R_0402_1005Metric",206.640000,-88.600000,180.000000,top
"R6","22","R_0402_1005Metric",199.100000,-98.890000,-90.000000,top
"R7","1k","R_0603_1608Metric",150.950000,-122.475000,-90.000000,top
"R8","1k","R_0603_1608Metric",189.650000,-132.800000,90.000000,top
"R9","1.2k","R_0402_1005Metric",139.590000,-126.600000,0.000000,top
"R10","1.2k","R_0402_1005Metric",139.790000,-124.800000,0.000000,top
"R11","33k","R_0402_1005Metric",142.600000,-127.700000,0.000000,top
"R12","33k","R_0402_1005Metric",142.500000,-123.800000,0.000000,top
"R13","1.2k","R_0402_1005Metric",200.310000,-126.680000,180.000000,top
"R14","1.2k","R_0402_1005Metric",200.510000,-128.580000,180.000000,top
"R15","33k","R_0402_1005Metric",197.800000,-124.880000,180.000000,top
"R16","33k","R_0402_1005Metric",198.010000,-129.580000,180.000000,top
"R17","47","R_0402_1005Metric",159.290000,-127.800000,0.000000,top
"R18","47","R_0402_1005Metric",159.090000,-125.600000,0.000000,top
"R19","47","R_0402_1005Metric",183.840000,-126.900000,180.000000,top
"R20","47","R_0402_1005Metric",184.650000,-129.450000,180.000000,top
"R21","10k","R_0402_1005Metric",159.900000,-147.050000,90.000000,top
"R22","22","R_0402_1005Metric",167.250000,-139.450000,-90.000000,top
"R23","22","R_0402_1005Metric",173.000000,-138.360000,-90.000000,top
"R24","22","R_0402_1005Metric",175.400000,-138.490000,-90.000000,top
"R25","10k","R_0402_1005Metric",182.390000,-132.750000,0.000000,top
"R26","10k","R_0402_1005Metric",181.840000,-134.450000,0.000000,top
"R27","22","R_0402_1005Metric",176.800000,-138.510000,-90.000000,top
"R28","4.7k","R_0402_1005Metric",212.250000,-146.560000,90.000000,top
"R29","4.7k","R_0402_1005Metric",212.350000,-143.610000,-90.000000,top
"U1","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",206.328372,-74.373927,90.000000,top
"U2","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",195.926073,-65.679464,180.000000,top
"U3","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",178.529045,-69.174346,180.000000,top
"U4","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",213.773508,-83.921209,90.000000,top
"U5","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",166.029045,-75.524346,180.000000,top
"U6","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",187.079045,-66.024346,180.000000,top
"U7","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",213.079464,-76.299987,90.000000,top
"U8","WMM7027ABSN0-4_TR","MIC-SMD_4P-L2.8-W1.9_MSM38A2718Z9BM3",203.929464,-69.099987,90.000000,top
"U9","PCM1862DBTR","TSSOP-30_4.4x7.8mm_P0.5mm",192.237500,-92.650000,0.000000,top
"U10","ZTS6216","MIC-SMD_4P-L2.8-W1.9-P1.84-TL",130.574981,-123.055004,180.000000,top
"U11","ADA4945-1ACPZ-R7","LFCSP-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",146.237500,-126.150000,0.000000,top
